詞語	吳拼
調差	
調教	
調整範圍	
調查人員	
調查問卷	
調查範圍	
調水	
調皮鬼	
調着	
調研人員	
調製波	
調解	
調解法	
調詞架訟	
調進去	
調過去	
調防	
調降	
調集	
諄諄教導	
諄諄教誨	
談了	
談何容易	
談來談去	
談判下去	
談判落去	
談吐之間	
談吐風生	
談和	
談生意	
談着	
談笑之間	
談笑自若	
談笑風生	
談論着	
談過去	
諉過於人	
請上去	
請下去	
請落去	
請了	
請人	
請你	
請個	
請假	
請假單	
請假條	
請出去	
請加	
請務必	
請去	
請參考	
請參閱	
請和	
請問	
請回去	
請大家	
請戰	
請戴	
請教	
請於	
請款單	
請洽	
請確認	
請稍候	
請聯繫	
請自行	
請訪問	
請進去	
請過去	
請降	
諍人	
諍諫	
諒解	
論交	
論功行賞	
論戰	
論文集	
論爭	
論理學	
論著	
論長道短	
諜報人員	
諧和	
諧波	
諫大夫	
諫官	
諫征	
諫書	
諫正	
諫言	
諫諍	
諫議	
諫院	
諮詢服務	
諮詢顧問	
諱莫如深	
諳習	
諷諫	
諸子十家	
諸子百家	
諸生	
諸行無常	
諾曼人	
諾曼底人	
諾爾	
諾貝爾	
諾貝爾和平獎	
諾貝爾文學獎	
諾貝爾物理學獎	
諾貝爾獎	
謀事在人	
謀和	
謀生	
謀生不易	
謀生之道	
謙和	
謙沖自牧	
謙虛謹慎	
講下去	
講落去	
講了	
講交情	
講來講去	
講個	
講出去	
講古人	
講和	
講學	
講學法	
講着	
講習	
講習所	
講習會	
講習班	
講衛生	
講解	
講解員	
講解法	
講評人	
講過去	
謝世	
謝了	
謝克爾	
謝娜	
謝家	
謝家集	
謝家集區	
謝拉	
謝爾巴人	
謝爾托夫	
謝爾蓋	
謝絕參觀	
謝謝了	
謝謝你	
謝謝你們	
謝謝大家	
謝長廷	
謠傳	
謠言止於	
謠言止於智者	
謫降	
謬種流傳	
謬誤	
謬誤百出	
謹上	
謹呈	
謹啓	
謹嚴	
謹守	
謹守諾言	
謹小慎微	
謹慎	
謹此	
謹稟	
謹致	
謹致謝意	
謹言慎行	
謹記	
謹記在心	
謹身	
謹防	
謹防假冒	
謹防扒手	
謹領	
謹飭	
譁然	
譁笑	
譁衆	
譁衆取寵	
譁變	
證交所	
證交會	
證交稅	
證人	
證人席	
證券交易	
證券交易所	
證券交易稅	
證券化率	
證券經紀人	
證卷交易所	
證婚人	
證悟	
證據確鑿	
證於	
證明單	
證明材料	
識大體	
識字率	
識時務	
識時務者	
識時務者爲俊傑	
識時達務	
譚人鳳	
譚震林	
譜上去	
譜下去	
譜落去	
譜分析	
譜學	
譜着	
譜系分類法	
警世	
警世名言	
警世鐘	
警務	
警務局長	
警務處	
警務部長	
警告牌	
警官學校	
警察學校	
警察局長	
警悟	
警政署長	
警覺	
警覺到	
警覺心	
警覺性	
警長	
譫妄	
譬若	
譯傳	
譯自	
譯著	
議事日程	
議價空間	
議和	
議和團	
議會鬥爭	
議長	
議長論短	
護人	
護國戰爭	
護士學校	
護士長	
護庇	
護從	
護持	
護林防火	
護法戰爭	
護理學	
護理專科學校	
護理職業學校	
護甲	
護着	
護耳	
讀了	
讀來讀去	
讀大學	
讀書不求甚解	
讀着	
讀研究生	
讀若	
讀萬卷書行萬里路	
讀過去	
讀音錯誤	
變上去	
變下去	
變落去	
變不了	
變了	
變了又變	
變來變去	
變個	
變分	
變分原理	
變分學	
變分法	
變動匯率	
變化無常	
變化無窮	
變化範圍	
變化莫測	
變去	
變味	
變回去	
變壞	
變大	
變差	
變幻無常	
變幻莫測	
變得更加	
變性人	
變易	
變更	
變更爲	
變更登記	
變本加厲	
變率	
變生肘腋	
變相加價	
變着	
變種人	
變色易容	
變賣家產	
變速傳動	
變過去	
變長	
讒誣	
讒間	
讓人	
讓人家去說	
讓人感動	
讓人羨慕	
讓位於	
讓你	
讓出去	
讓受人	
讓女人	
讚了	
讚個不	
讚樂	
讚美有加	
讚自己	
豁上	
豁上幹	
豁亮	
豁免	
豁免權	
豁出來	
豁出去	
豁出命幹	
豁口	
豁嘴	
豁子	
豁朗	
豁然	
豁然貫通	
豁然開朗	
豁蕩	
豁達	
豁達大度	
豆乾	
豆剖瓜分	
豆大	
豆奶	
豆狀	
豆腐乾	
豌豆莢	
豎眉瞪眼	
豎着	
豎起耳朵	
豐亨豫大	
豐儉由人	
豐功盛烈	
豐寧滿族自治縣	
豐年稔歲	
豐樂	
豐樂亭	
豐水	
豐水期	
豐盛	
豐茂	
豔若桃李	
象人	
象你	
象個	
象徵着	
象生	
象鼻	
象鼻山	
象鼻蟲	
豬下水	
豬八戒吃人參果	
豬尾	
豬尾巴	
豬悟能	
豬水泡病	
豬肉乾	
豬蹄膀	
豬鼻	
豹死留皮	
豹貓	
貂皮大衣	
貌不驚人	
貓叫	
貓叫聲	
貓咪	
貓哭老鼠	
貓哭耗子	
貓哭耗子假慈悲	
貓撲	
貓沙	
貓熊	
貓狗	
貓王	
貓王迷	
貓眼	
貓眼石	
貓砂	
貓科	
貓糧	
貓耳洞	
貓肉	
貓膩	
貓貓	
貓頭	
貓魚	
貓鼠同眠	
貓鼠遊戲	
貓鼬	
貝克勒耳	
貝克漢姆	
貝克爾	
貝加爾湖	
貝加萊	
貝娜齊爾布托	
貝拉	
貝拉米	
貝爾	
貝爾傑	
貝爾實驗室	
貝爾格	
貝爾格萊德	
貝爾法斯特	
貝爾湖	
貝爾莫潘	
貝里拉	
貞節牌坊	
負分	
負利率	
負增長	
負心人	
負才任氣	
負於	
負有責任	
負荷不了	
負責人	
負責任	
財務	
財務人員	
財務再保險	
財務制度	
財務報告	
財務報表	
財務大臣	
財務收支	
財務會計	
財務狀況	
財務監督	
財務祕書	
財務科	
財務管理	
財務結構	
財務總監	
財務處	
財務費用	
財務軟件	
財務部	
財務預測	
財務預算	
財團法人	
財大	
財大氣粗	
財政大臣	
財政學	
財政寡頭	
財政廳長	
財政部長	
財經大學	
財經專家	
財經首長	
財長	
貢山獨龍族怒族自治縣	
貢獻率	
貢生	
貢覺	
貢覺縣	
貧困人口	
貧困人家	
貧困學生	
貧困家庭	
貧困率	
貧困生	
貧家	
貧家女	
貧富差距	
貧寒人家	
貧無立錐	
貧無立錐之地	
貧病交加	
貧病交迫	
貧窮人家	
貧窮潦倒	
貧苦人家	
貧賤	
貧賤不能移	
貧賤夫妻百事哀	
貨單	
貨架	
貨架子	
貨櫃	
貨櫃場	
貨櫃屋	
貨櫃船	
貨櫃車	
貨櫃輪	
貨比三家	
貨比三家不吃虧	
貨物櫃	
貨運行	
販賣人口	
貪吃鬼	
貪多無厭	
貪大求全	
貪小失大	
貪得無厭	
貪得無饜	
貪慾無藝	
貪戀着	
貪求無厭	
貪生	
貪生怕死	
貪生惡死	
貪賄無藝	
貫徹執行	
貫耳	
責人	
責人從寬	
責任	
責任事故	
責任人	
責任人員	
責任保險	
責任內閣	
責任制	
責任心	
責任意識	
責任感	
責任書	
責任準備	
責任準備金	
責任狀	
責任田	
責任範圍	
責任編輯	
責任追究	
責任險	
責問	
責己從嚴	
責斥	
責無旁貸	
貯水	
貯水器	
貯水池	
貯水量	
貳仟	
貳億	
貳心	
貳拾	
貳臣	
貳萬	
貴了	
貴事	
貴人	
貴人多忘事	
貴人相助	
貴价	
貴公司	
貴刊	
貴南	
貴南縣	
貴古賤今	
貴國	
貴在	
貴地	
貴妃	
貴妃醉酒	
貴姓	
貴婦	
貴婦人	
貴婦犬	
貴子	
貴定	
貴定縣	
貴客	
貴客臨門	
貴寶地	
貴寶號	
貴州	
貴州人	
貴州師範大學	
貴州日報	
貴州省	
貴州財經學院	
貴幸	
貴幹	
貴庚	
貴府	
貴得	
貴徵	
貴德	
貴德縣	
貴恙	
貴慈	
貴戚	
貴方	
貴族	
貴族化	
貴族學校	
貴族政治	
貴族社會	
貴族身份	
貴校	
貴格會	
貴極人臣	
貴池	
貴池區	
貴港	
貴港市	
貴溪	
貴溪市	
貴爲	
貴爲天子	
貴的	
貴站	
貴胄	
貴處	
貴要	
貴賓	
貴賓卡	
貴賓室	
貴賓席	
貴賓犬	
貴賤	
貴賤之別	
貴遊子弟	
貴遠賤近	
貴邦	
貴重	
貴重品	
貴重金屬	
貴金屬	
貴陽	
貴陽市	
貴陽醫學院	
貴顯	
貴體	
貴點	
貶斥	
買了	
買來買去	
買個	
買去	
買受人	
買單	
買回去	
買回家	
買大彩	
買家	
買櫝還珠	
買着	
買賣人	
買鹹魚放生	
貸了	
貸個	
貸款人	
貸款利率	
貸款率	
費了	
費人思索	
費加洛	
費加羅報	
費奧多爾	
費拉德爾菲亞	
費時間	
費爾	
費爾巴哈	
費爾干納	
費爾幹納盆地	
費爾法克斯	
費爾茲獎	
費爾馬	
費爾馬大定理	
費率	
費用報銷單	
費舍爾	
費解	
貼上去	
貼下去	
貼落去	
貼來貼去	
貼個	
貼出去	
貼吧	
貼地而行	
貼心人	
貼牌	
貼現率	
貼生	
貼着	
貼補家用	
貼進去	
貼過去	
貽人口實	
貽人話柄	
貽害無窮	
貽笑大方	
貽笑方家	
貽誤	
貽誤戎機	
貽誤終身	
貿易	
貿易中心	
貿易伙伴	
貿易保護	
貿易保護主義	
貿易公司	
貿易協定	
貿易商	
貿易國	
貿易壁壘	
貿易夥伴	
貿易戰	
貿易摩擦	
貿易組織	
貿易談判	
貿易貨棧	
貿易逆差	
貿易通	
貿易部	
貿易順差	
貿易額	
貿易風	
貿然行事	
賀朝	
賀歲	
賀歲片	
賀爾蒙	
賁士	
賁然	
賁臨	
賁門	
賄賂	
賄賂並行	
賄賂公行	
賄賂罪	
賅博	
賅括	
資優兒童	
資優生	
資料介面	
資料傳輸	
資方人員	
資望	
資本主義國家	
資本家	
資材	
資生堂	
資產階級自由化	
資訊學會	
資訊學系	
資訊展	
賈人	
賈克遜	
賈南德拉	
賈南風	
賈后	
賈寶玉	
賈島	
賈平凹	
賈思勰	
賈慶林	
賈斯克	
賈母	
賈汪	
賈汪區	
賈禍	
賈第蟲	
賈第蟲屬	
賈第蟲病	
賈胡	
賈誼	
賈里爾	
賊人	
賊死	
賊眉鼠眼	
賓夕法尼亞大學	
賓從	
賓語關係從句	
賙人	
賙人之急	
賜了	
賜教	
賜死	
賞了	
賞心樂事	
賞望	
賞罰分明	
賠上去	
賠了	
賠了夫人	
賠了夫人又折兵	
賠個不是	
賠償	
賠償物	
賠償責任	
賠償費	
賠償金	
賠本生意	
賠率	
賢人	
賢妹	
賢淑仁慈	
賣不出去	
賣了	
賣了兒子招女婿	
賣人情	
賣來賣去	
賣俏行奸	
賣個破綻	
賣光了	
賣出去	
賣單	
賣家	
賣着	
賣藥人	
賤事	
賤人	
賤價	
賤價出售	
賤內	
賤妾	
賤恙	
賤才	
賤斂貴出	
賤業	
賤民	
賤物	
賤稱	
賤胚	
賤號	
賤貨	
賤買賤賣	
賤賣	
賤賤	
賤軀	
賦閒在家	
賦間	
質和量	
質問	
質疑問難	
質量問題	
質量差	
質點力學	
賬務	
賬單	
賭了	
賴以爲生	
賴以維生	
賴和	
賴於	
賴爾德	
賴着	
賸下	
賸餘	
賺不了	
賺了	
賺人眼淚	
賺個	
賺個飽	
賺去	
賺哄	
賺大錢	
賺過去	
購物單	
購物大廈	
購自	
購貨單	
購銷差價	
賽拉圖	
賽爾	
賽百味	
賽過一個諸葛亮	
贊助人	
贊布拉諾	
贏不了	
贏了	
贏人	
贏回去	
贏定了	
贏家	
贏過去	
贖人	
贖罪日	
贖罪日戰爭	
贛南師範學院	
赤光	
赤兔	
赤化	
赤口日	
赤地	
赤地千里	
赤坎	
赤坎區	
赤城	
赤城縣	
赤壁	
赤壁之戰	
赤壁市	
赤壁縣	
赤壁賦	
赤子	
赤子之心	
赤字	
赤字累累	
赤小豆	
赤峯	
赤峯市	
赤嵌樓	
赤帶	
赤心	
赤忱	
赤手	
赤手空拳	
赤日	
赤日炎炎	
赤朮	
赤松	
赤松子	
赤條條	
赤棉	
赤楊	
赤橙黃綠青藍紫	
赤水	
赤水市	
赤水河	
赤潮	
赤熱	
赤痢	
赤眉	
赤眼蜂	
赤禍	
赤紅	
赤練蛇	
赤縣	
赤繩繫足	
赤背	
赤腳	
赤腳大仙	
赤腳律師	
赤腳醫生	
赤膊	
赤膊上陣	
赤膽	
赤膽忠心	
赤色	
赤芍	
赤蘚糖醇	
赤蘚醇	
赤衛軍	
赤衛隊	
赤裸	
赤裸裸	
赤褐色	
赤誠	
赤誠相待	
赤誠相見	
赤貧	
赤貧如洗	
赤足	
赤身	
赤身裸體	
赤身露體	
赤道	
赤道儀	
赤道區	
赤道幾內亞	
赤道逆流	
赤道雨林	
赤道面	
赤金	
赤銅	
赤銅礦	
赤鐵礦	
赤陶	
赤露	
赤馬	
赤麻鴨	
赤黴素	
赧愧	
赧顏	
赫伯特	
赫圖阿拉	
赫拉	
赫拉克利特	
赫拉特	
赫拉特省	
赫爾	
赫爾墨斯	
赫爾新基	
赫爾曼	
赫爾曼德	
赫爾穆特	
赫爾辛基	
赫耳墨斯	
赫茲	
走上了	
走上去	
走下去	
走落去	
走不了	
走不過去	
走了	
走了和尚走不了廟	
走了風聲	
走人	
走來走去	
走出了	
走出去	
走去	
走向世界	
走向前去	
走吧	
走味	
走回去	
走天涯	
走孃家	
走投無路	
走水	
走着	
走着瞧	
走肉行屍	
走背字	
走自己的路	
走讀生	
走進去	
走過去	
走頭無路	
走馬上任	
走馬到任	
走馬赴任	
走骨行屍	
走鬼	
赴任	
赴死	
起不了	
起了	
起伏	
起伏不定	
起因於	
起學潮	
起居生活	
起更	
起死回生	
起水泡	
起源於	
起爆	
起爆點	
起着	
起落架	
起行	
起解	
起降	
趁人之危	
趁哄	
趁哄打劫	
趁早行動	
趁機行事	
趁着	
超世之才	
超乎	
超人	
超人一等	
超人氣	
超人裝	
超再生	
超凡出世	
超出範圍	
超國家主義	
超外差	
超外差式	
超外差式收音機	
超大	
超大型	
超文本傳輸協定	
超文本傳送協議	
超生	
超短波	
超範圍	
超級大國	
超級女生	
超級無敵	
超維空間	
超聲波	
超聲波檢查	
超自然	
超速行駛	
超長	
超音波	
超音速飛行	
超額認	
超額認購	
超高速乙太網路	
超齡兒童	
越來越大	
越南人	
越南共和國	
越南戰爭	
越大	
越戰	
越活越回去	
越長	
越雷池一步	
趔趄	
趕上去	
趕下去	
趕落去	
趕了	
趕任務	
趕來趕去	
趕去	
趕回去	
趕快去	
趕時間	
趕牛	
趕着	
趕進去	
趕過去	
趕集	
趕鳥	
趕鴨子	
趕鴨子上架	
趙人	
趙元任	
趙先生	
趙家	
趙無極	
趙爾巽	
趣味	
趣味十足	
趣味性	
趣味競賽	
趨之若騖	
趨之若鶩	
趨於	
趨於平穩	
趨於穩定	
趨近於	
趲行	
足了	
足以自慰	
足以自豪	
足大指	
足於	
足歲	
足球大賽	
足赤	
趾甲	
趾高氣昂	
跋山涉水	
跌下去	
跌落去	
跌了	
跌交	
跌來跌去	
跌宕	
跌宕昭彰	
跌宕起伏	
跌死	
跌水	
跌自	
跌進去	
跑下去	
跑落去	
跑不了	
跑不了寺	
跑不了廟	
跑了	
跑了和尚	
跑了和尚跑不了廟	
跑來跑去	
跑出去	
跑去	
跑味	
跑回去	
跑得了和尚	
跑得了和尚跑不了廟	
跑生意	
跑着	
跑過去	
跛行症	
跟上去	
跟下去	
跟落去	
跟了	
跟人	
跟你	
跟來跟去	
跟出去	
跟別人	
跟去	
跟單	
跟差	
跟從	
跟着	
跟進去	
跟過去	
跟隨着	
跨上	
跨上來	
跨上去	
跨下	
跨下之辱	
跨下來	
跨下去	
跨落去	
跨世紀	
跨了	
跨來	
跨來跨去	
跨入	
跨出	
跨出來	
跨出去	
跨刀	
跨刀相助	
跨到	
跨區	
跨向	
跨國	
跨國企業	
跨國公司	
跨國化	
跨在	
跨地區	
跨境	
跨媒體合作	
跨學科	
跨平臺	
跨年	
跨年度	
跨度	
跨得	
跨成	
跨接器	
跨文化	
跨日	
跨月	
跨欄	
跨欄比賽	
跨步	
跨步前進	
跨步向前	
跨河	
跨河大橋	
跨洲	
跨海	
跨海大橋	
跨湖	
跨湖大橋	
跨牆	
跨省	
跨着	
跨竈	
跨線橋	
跨腳	
跨行	
跨行業	
跨語言	
跨起	
跨起來	
跨越	
跨越式	
跨跨	
跨躍	
跨進	
跨進來	
跨進去	
跨過	
跨門	
跨馬	
跨騎	
跨鶴	
跨鶴西遊	
跨黨	
跪下	
跪下來	
跪下去	
跪落去	
跪了	
跪伏	
跪倒	
跪到	
跪叩	
跪在	
跪地	
跪地求饒	
跪姿	
跪射	
跪得	
跪拜	
跪拜禮	
跪毯	
跪求	
跪着	
跪禱	
路上比終點更有意義	
路人	
路人皆知	
路傳中	
路公交車	
路加	
路加福音	
路南彝族自治縣	
路德教派	
路易	
路易士	
路易威登	
路易斯	
路易斯安那	
路易斯安那州	
路易港	
路牌	
路線鬥爭	
路西弗	
路透集團	
跳上去	
跳下去	
跳落去	
跳了	
跳井自殺	
跳井自盡	
跳來跳去	
跳出去	
跳加官	
跳回去	
跳樓自殺	
跳樓自盡	
跳水	
跳水池	
跳水臺	
跳河自殺	
跳河自盡	
跳海自殺	
跳海自盡	
跳牆出去	
跳着	
跳級生	
跳行	
跳進去	
跳過去	
跳集體舞	
跺腳	
踉蹌而行	
踏上去	
踏下去	
踏落去	
踏了	
踏來踏去	
踏出去	
踏着	
踏破鐵鞋無覓處	
踏莎行	
踐行	
踐踏着	
踔厲	
踔厲風發	
踟躇	
踟躇不前	
踟躕	
踟躕不前	
踡伏	
踢上去	
踢下去	
踢落去	
踢了	
踢人	
踢來踢去	
踢出去	
踢去	
踢回去	
踢棉被	
踢爆	
踢着	
踢被	
踢進去	
踢過去	
踩下去	
踩落去	
踩壞	
踩壞了	
踩死	
踩水	
踩着	
踩高橇	
踮着	
踽踽獨行	
踽踽而行	
蹄膀	
蹉跎歲月	
蹙眉	
蹣跚而行	
蹲下去	
蹲落去	
蹲了	
蹲伏	
蹲着	
蹺了	
蹺家	
蹺着	
躋身於	
躡着	
躡着腳	
身世	
身分	
身分證	
身分證號碼	
身家	
身家性命	
身家清白	
身心交病	
身心交瘁	
身懷六甲	
身懷絕技	
身擔重任	
身教	
身教勝於言教	
身教重於言教	
身於	
身材	
身材矮小	
身材高大	
身無分文	
身無長物	
身着	
身穿着	
身經百戰	
身繫囹圄	
身負重任	
身長	
身陷囹圄	
身體力行	
身體狀況	
身體部分	
躬耕	
躬行	
躬逢其盛	
躲下去	
躲落去	
躲不了	
躲來躲去	
躲得不知去向	
躲着	
躲藏着	
躲貓貓	
躲過去	
躺上去	
躺下去	
躺落去	
躺來躺去	
躺個	
躺出去	
躺椅	
躺櫃	
躺着	
躺進去	
躺過去	
車到山前自有路	
車尾	
車展	
車架	
車水馬龍	
車渠	
車爾尼雪夫斯基	
車牌	
車牌號	
車牌號碼	
車號牌	
車行通道	
車行道	
車輪戰	
車轍	
車長	
車間	
車間成本	
車間經費	
車震	
軋來軋去	
軋死	
軌轍	
軌道交通	
軌道空間站	
軍事學	
軍事學校	
軍事學院	
軍事家	
軍事戰略	
軍事演習	
軍事科學	
軍事行動	
軍事顧問	
軍人	
軍令狀	
軍公教	
軍分區	
軍務	
軍務院	
軍國大事	
軍官學校	
軍政人員	
軍政大學	
軍曹魚	
軍校生	
軍樂	
軍樂隊	
軍機大臣	
軍民一家	
軍民聯防	
軍火交易	
軍職人員	
軍艦鳥	
軍訓教官	
軍醫大學	
軍長	
軍閥混戰	
軒昂	
軒然大波	
軒轅教	
軟交換	
軟件學院	
軟件開發人員	
軟任務	
軟和	
軟弱無力	
軟弱無能	
軟水	
軟着陸	
軟科學	
軟耳朵	
軟骨魚	
軟骨魚類	
軸功率	
軸率	
較大	
較差	
較於	
較易	
較著	
較長	
載人	
載人航天	
載伯德	
載來載去	
載出去	
載客率	
載於	
載波	
載波通信	
載浮載沈	
載滿了	
載着	
載貨率	
載酒問字	
輔仁	
輔仁大學	
輔助材料	
輔助生產	
輔大	
輔導人	
輕吹	
輕拉	
輕敲	
輕於	
輕於鴻毛	
輕易	
輕水	
輕水反應堆	
輕油裂解	
輕浮	
輕率	
輕生	
輕矛	
輕而易取	
輕而易舉	
輕脆悅耳	
輕舉妄動	
輕裝簡從	
輕諾寡信	
輕賤	
輕車從簡	
輕車簡從	
輕音樂	
輕鬆自在	
輕鬆自如	
輝格黨人	
輝長岩	
輟學	
輟學率	
輟朝	
輟耕	
輟耕錄	
輩分	
輩行	
輪上去	
輪下去	
輪落去	
輪任	
輪來輪去	
輪式拖拉機	
輪戰	
輪架	
輪椅	
輪機長	
輪狀	
輪生	
輪生葉	
輪箍	
輪耕	
輪過去	
輯集	
輸了	
輸人	
輸人不輸陣	
輸來輸去	
輸出功率	
輸出去	
輸去	
輸家	
輸尿管	
輸水	
輸水管	
輸着	
輸送媒介	
輸送架	
輸進去	
輸過去	
輻射分解	
輻射劑量率	
輻射波	
輻射狀	
輻射防護	
輾轉流傳	
輿論譁然	
轉上去	
轉下去	
轉落去	
轉世	
轉乘	
轉趁	
轉了	
轉交	
轉任	
轉來轉去	
轉個	
轉個彎	
轉出去	
轉動着	
轉去	
轉口貿易	
轉向架	
轉售他人	
轉回去	
轉學	
轉學生	
轉差	
轉差率	
轉念之間	
轉戰	
轉戰千里	
轉捩	
轉捩點	
轉日回天	
轉業軍人	
轉生	
轉眼之間	
轉眼便忘	
轉眼間	
轉瞬間	
轉背	
轉自	
轉行	
轉載自	
轉過去	
轉開去	
轍口	
轍跡	
轎椅	
轟上去	
轟下去	
轟落去	
轟了	
轟來轟去	
轟傳	
轟出去	
轟炸	
轟炸機	
轟進去	
辛丑和約	
辛伐他汀	
辛勤耕耘	
辛味	
辛普森一家	
辛未	
辛迪加	
辛酸淚	
辛集	
辛集市	
辟世	
辟人之士	
辟易	
辣乎乎	
辣味	
辣妹	
辣彼	
辦事效率	
辦個	
辦公傢俱	
辦公大樓	
辦公時間	
辦公自動化	
辦學	
辦學不力	
辦學條件	
辦差	
辨認	
辨認出	
辨認出來	
辭世	
辭任	
辭去	
辭書學	
辭歲	
辭行	
辯才無礙	
辯爭	
辯解	
辯認	
辯誣	
辯護人	
辰牌	
辱沒	
農人	
農務	
農大	
農奴解放日	
農學	
農學院	
農家	
農家品種	
農家女	
農家子弟	
農家庭院	
農家樂	
農家肥	
農家肥料	
農工職業學校	
農村人口	
農村人民公社	
農村教育	
農村發展	
農林廳長	
農林水產省	
農業中學	
農業大學	
農業學大寨	
農業學校	
農業專科學校	
農業工人	
農業生技	
農業生產	
農業生產合作社	
農業生產技術	
農業生產資料	
農業發展	
農業職業學校	
農業資本家	
農業銀行	
農業集體化	
農民戰爭	
農民銀行	
農渠	
農田水利	
農耕	
農耕機	
農耕隊	
農行	
迂滯	
迂迴戰術	
迄未	
迄無	
迅猛發展	
迅速發展	
迅雷不及掩耳	
迅馳	
迎上去	
迎人	
迎刃而解	
迎合人心	
迎向前去	
迎戰	
迎接挑戰	
迎着	
迎風招展	
迎風而去	
近世	
近乎	
近乎同步	
近了	
近人	
近似於	
近似解	
近戰	
近於	
近日	
近日以來	
近日來	
近日裏	
近日點	
近朱者赤	
近朱者赤近墨者黑	
近東國家	
近歲	
近水樓臺	
近水樓臺先得月	
近親交配	
返券黃牛	
返家	
返校日	
返老還童	
返還	
返還占有	
返防	
迥乎不同	
迥若	
迥若兩人	
迦太基	
迦持	
迪士尼樂園	
迪慶藏族自治州	
迪戈加西亞島	
迪斯尼樂園	
迪斯科吧	
迫在眉睫	
迫於	
迫於形勢	
迫於眉睫	
迫降	
述懷	
迴旋加速器	
迴避學習	
迴避學習	
迷了	
迷了心竅	
迷人	
迷你	
迷你型	
迷你裙	
迷你車	
迷來迷去	
迷夢	
迷惑不解	
迷戀着	
迷於	
迷死	
迷着	
迷誤	
迷霧	
迷鳥	
迸出去	
迸淚	
迸濺	
追上去	
追下去	
追落去	
追了	
追人	
追來追去	
追償	
追加	
追加預算	
追去	
追問	
追問到底	
追回去	
追尋着	
追尾	
追悔莫及	
追懷	
追查責任	
追根問底	
追殲	
追着	
追究責任	
追認	
追趕着	
追進去	
追過去	
追還	
追隨着	
退下去	
退落去	
退任	
退伍軍人	
退伍軍人症	
退伍軍人節	
退休人員	
退出去	
退出運行	
退去	
退回去	
退學	
退學生	
退役軍人	
退朝	
退水	
退着	
退耕	
退耕還林	
退藏於密	
退行	
退過去	
退還	
退還給	
送上去	
送上太空	
送下去	
送落去	
送了	
送交	
送交到	
送交給	
送人	
送你	
送信人	
送個	
送出去	
送去	
送報人	
送報生	
送歲	
送死	
送水	
送禮大方	
送秋波	
送行	
送行人	
送貨到家	
送貨去	
送進去	
送過去	
送還	
送還到	
送還給	
逃上去	
逃下去	
逃落去	
逃不了	
逃了	
逃來逃去	
逃出去	
逃出生天	
逃去	
逃學	
逃家	
逃生	
逃生梯	
逃竄無蹤	
逃課學生	
逃進去	
逃避責任	
逆價差	
逆向行駛	
逆差	
逆水	
逆水行舟	
逆流而行	
逆着	
逆耳	
逆耳之言	
逆行	
逆行倒施	
逆風而行	
逍遙自在	
逍遙自得	
透下去	
透落去	
透了	
透出去	
透味	
透明膠	
透水	
透水性	
透着	
透視學	
透進去	
透過去	
逐個	
逐月逐日	
逐水	
逐波而去	
逐漸增加	
逐行	
逐行掃描	
途人	
逕自	
逕行	
逗人	
逗人喜愛	
逗人喜歡	
逗人發笑	
逗你玩	
逗哈哈	
逗樂	
這一個	
這一生	
這三個	
這也	
這也是	
這些人	
這些個	
這些問題	
這人	
這個	
這個世界	
這個人	
這個傢伙	
這個名字	
這個問題	
這個國家	
這個地方	
這個城市	
這個夏天	
這個女人	
這個女孩	
這個字	
這個擋口	
這個故事	
這個數字	
這個文件	
這個時代	
這個時候	
這個月	
這個東西	
這個機會	
這個消息	
這個男人	
這個網站	
這個詞	
這個遊戲	
這個那個	
這傢伙	
這兩個	
這和	
這夥人	
這大概是	
這學期	
這家	
這家人	
這山望着那山高	
這幾個	
這幾個人	
這幾個月	
這是一個	
這是你	
這是個	
這更	
這架	
這樣吧	
這段時間	
這炷香	
這種人	
這種感覺	
這行	
這還	
這還了得	
這間	
這集	
這麼個	
這麼多人	
這麼大	
這麼着	
這麼簡單	
通了	
通事舍人	
通人	
通人達才	
通來通去	
通俗文學	
通俗易懂	
通俗科學	
通信服務	
通信行業	
通假	
通假字	
通分	
通去	
通問	
通學	
通學生	
通家	
通才教育	
通於	
通暢無阻	
通水	
通用串行總線	
通用字符集	
通知單	
通脹率	
通行	
通行本	
通行權	
通行無阻	
通行稅	
通行證	
通行費	
通衢大道	
通解	
通訊自動化	
通訊行業	
通識教育	
通過去	
通過學習	
通過學習	
通過率	
通道侗族自治縣	
通達人情	
通都大邑	
逛上去	
逛下去	
逛落去	
逛了	
逛來逛去	
逛出去	
逛去	
逛回去	
逛進去	
逛過去	
逝世	
逝去	
逝水	
逞異誇能	
速動比率	
速去	
速去速回	
速戰	
速戰速決	
速決戰	
速洽	
速溶咖啡	
速率	
速行	
造假	
造化弄人	
造就人才	
造就人材	
造成問題	
造林學	
造福人羣	
造福人類	
造繭自縛	
造謠生事	
逢人便講	
逢人只說三分話	
逢人說項	
逢甲	
逢甲大學	
逢甲學院	
逢集	
連上去	
連下去	
連落去	
連了	
連人	
連任	
連來連去	
連個	
連分數	
連加	
連南瑤族自治縣	
連哄帶騙	
連夜趕去	
連山壯族瑤族自治縣	
連帶處分	
連帶責任	
連戰	
連戰皆北	
連戰皆捷	
連戰連勝	
連接池	
連於	
連日	
連日來	
連架	
連橇	
連生	
連着	
連繫	
連繫詞	
連繫起來	
連續介質力學	
連續生產	
連續統假設	
連續集	
連過去	
連選連任	
連長	
連集	
連頭也不回	
逮繫	
週二	
週休二日	
週六日	
